y,x,group,tooltip
"Group A",24,30 to 44,<table class='PykCharts'><tr><th>Eligible Voting Population</th></tr><tr><td>24</td></tr></table>
"Group A",21.2,18 to 29,<table class='PykCharts'><tr><th>Eligible Voting Population</th></tr><tr><td>21.2</td></tr></table>
"Group D",21.1,18 to 29,<table class='PykCharts'><tr><th>Eligible Voting Population</th></tr><tr><td>21.1</td></tr></table>
"Group D",30.7,30 to 44,<table class='PykCharts'><tr><th>Eligible Voting Population</th></tr><tr><td>30.7</td></tr></table>
"Group A",35.6,45 to 64,<table class='PykCharts'><tr><th>Eligible Voting Population</th></tr><tr><td>35.6</td></tr></table>
"Group A",19.1,65 and older,<table class='PykCharts'><tr><th>Eligible Voting Population</th></tr><tr><td>19.1</td></tr></table>
"Group B",21.3,18 to 29,<table class='PykCharts'><tr><th>Eligible Voting Population</th></tr><tr><td>21.3</td></tr></table>
"Group C",17.1,65 and older,<table class='PykCharts'><tr><th>Eligible Voting Population</th></tr><tr><td>17.1</td></tr></table>
"Group C",34.1,45 to 64,<table class='PykCharts'><tr><th>Eligible Voting Population</th></tr><tr><td>34.1</td></tr></table>
"Group B",25.5,30 to 44,<table class='PykCharts'><tr><th>Eligible Voting Population</th></tr><tr><td>25.5</td></tr></table>
"Group B",35.6,45 to 64,<table class='PykCharts'><tr><th>Eligible Voting Population</th></tr><tr><td>35.6</td></tr></table>
"Group B",17.6,65 and older,<table class='PykCharts'><tr><th>Eligible Voting Population</th></tr><tr><td>17.6</td></tr></table>
"Group D",31.1,45 to 64,<table class='PykCharts'><tr><th>Eligible Voting Population</th></tr><tr><td>31.1</td></tr></table>
"Group D",17.1,65 and older,<table class='PykCharts'><tr><th>Eligible Voting Population</th></tr><tr><td>17.1</td></tr></table>
"Group C",20.9,18 to 29,<table class='PykCharts'><tr><th>Eligible Voting Population</th></tr><tr><td>20.9</td></tr></table>
"Group C",27.9,30 to 44,<table class='PykCharts'><tr><th>Eligible Voting Population</th></tr><tr><td>27.9</td></tr></table>
